Order ID,Product Name,SKU,Quantity,Product Price,Shipping Fee Paid by Customer,Actual Shipping Fee Charged by Platform,Platform Commission Fee,Voucher Discount,Payout Amount,Status
ORD-2026-0001,Noise Cancelling Headphones,HDP-008,1,129.99,3.7,3.7,6.5,10,117.19,Completed
ORD-2026-0002,Portable Power Bank 20000mAh,PWR-007,3,119.97,6.3,6.3,6,0,120.27,Completed
ORD-2026-0003,Premium Wireless Earbuds,EAR-001,1,59.99,7.3,7.3,3,0,64.29,Completed
ORD-2026-0004,Fast Charging Cable Type-C,CAB-005,1,19.99,12.9,12.9,1,0,31.89,Completed
ORD-2026-0005,Waterproof Sports Smartwatch,WTC-006,2,159.98,12.9,12.9,8,0,164.88,Completed
ORD-2026-0006,Fast Charging Cable Type-C,CAB-005,1,19.99,9.6,9.6,1,0,28.59,Completed
ORD-2026-0007,Silicone Phone Case iPhone 15,CAS-009,2,29.98,9.2,9.2,1.5,0,37.68,Completed
ORD-2026-0008,Waterproof Sports Smartwatch,WTC-006,1,79.99,7.1,7.1,4,0,83.09,Completed
ORD-2026-0009,Adjustable Laptop Stand,STD-010,1,34.99,9.1,9.1,1.75,0,42.34,Completed
ORD-2026-0010,Premium Wireless Earbuds,EAR-001,1,59.99,4.9,4.9,15,0,49.89,Completed
ORD-2026-0011,Portable Power Bank 20000mAh,PWR-007,1,39.99,8.3,8.3,2,0,46.29,Completed
ORD-2026-0012,Adjustable Laptop Stand,STD-010,1,34.99,10.5,10.5,1.75,5,38.74,Completed
ORD-2026-0013,Portable Power Bank 20000mAh,PWR-007,2,79.98,10.9,10.9,4,10,76.88,Completed
ORD-2026-0014,Mechanical Gaming Keyboard,KEY-003,2,179.98,3.8,3.8,9,0,174.78,Completed
ORD-2026-0015,Silicone Phone Case iPhone 15,CAS-009,1,14.99,12.4,12.4,0.75,10,16.64,Completed
ORD-2026-0016,Portable Power Bank 20000mAh,PWR-007,1,39.99,4.4,4.4,2,10,32.39,Completed
ORD-2026-0017,Premium Wireless Earbuds,EAR-001,1,59.99,4.1,4.1,3,0,61.09,Completed
ORD-2026-0018,Ultra-Wide USB-C Monitor,MON-004,1,299.99,7.9,7.9,15,0,292.89,Completed
ORD-2026-0019,Fast Charging Cable Type-C,CAB-005,1,19.99,9.7,9.7,1,0,28.69,Completed
ORD-2026-0020,Portable Power Bank 20000mAh,PWR-007,1,39.99,12.8,12.8,2,0,50.79,Completed
ORD-2026-0021,Adjustable Laptop Stand,STD-010,1,34.99,9,9,1.75,0,42.24,Completed
ORD-2026-0022,Mechanical Gaming Keyboard,KEY-003,1,89.99,12.9,12.9,4.5,0,98.39,Completed
ORD-2026-0023,Premium Wireless Earbuds,EAR-001,1,59.99,4.4,4.4,3,5,56.39,Completed
ORD-2026-0024,Fast Charging Cable Type-C,CAB-005,1,19.99,8.7,8.7,1,0,27.69,Completed
ORD-2026-0025,Ergonomic Office Chair,CHR-002,1,149.99,11,22.05,7.5,5,148.49,Completed
ORD-2026-0026,Noise Cancelling Headphones,HDP-008,1,129.99,3.6,3.6,6.5,10,117.09,Completed
ORD-2026-0027,Silicone Phone Case iPhone 15,CAS-009,1,14.99,10.7,19.64,0.75,0,24.94,Completed
ORD-2026-0028,Waterproof Sports Smartwatch,WTC-006,1,79.99,9.1,22.35,4,10,75.09,Completed
ORD-2026-0029,Silicone Phone Case iPhone 15,CAS-009,1,14.99,5.4,5.4,0.75,10,9.64,Completed
ORD-2026-0030,Adjustable Laptop Stand,STD-010,1,34.99,3.9,3.9,1.75,0,37.14,Completed
ORD-2026-0031,Ultra-Wide USB-C Monitor,MON-004,1,299.99,10.7,10.7,15,0,295.69,Completed
ORD-2026-0032,Portable Power Bank 20000mAh,PWR-007,1,39.99,11.5,11.5,2,0,49.49,Completed
ORD-2026-0033,Adjustable Laptop Stand,STD-010,1,34.99,3.6,3.6,1.75,0,36.84,Completed
ORD-2026-0034,Ergonomic Office Chair,CHR-002,1,149.99,5.3,5.3,7.5,0,147.79,Completed
ORD-2026-0035,Waterproof Sports Smartwatch,WTC-006,1,79.99,10.1,10.1,4,0,86.09,Completed
